"time","country","cum_confirm","cum_heal","cum_dead"
2020-03-19,"Italy",36455,4025,2978
2020-03-28,"Iran",35408,11679,2517
2020-03-25,"Germany",35353,3540,181
2020-04-16,"Belgium",34809,7562,4857
2020-04-08,"Turkey",34109,1582,725
2020-04-02,"United Kingdom",33718,179,2921
2020-04-15,"Belgium",33573,7107,4440
2020-03-23,"Spain",33089,3355,2182
2020-03-28,"France",32964,5700,1995
2020-03-27,"Iran",32332,11133,2378
2020-03-18,"Italy",31506,2941,2503
2020-03-24,"Germany",31370,749,132
2020-04-14,"Belgium",31119,6707,4157
2020-04-13,"Belgium",30789,6707,3903
2020-04-07,"Turkey",30217,1326,649
2020-04-01,"United Kingdom",29841,179,2356
2020-04-12,"Belgium",29647,6463,3600
2020-03-27,"France",29566,4955,1698
2020-03-26,"Iran",29406,10457,2234
2020-04-16,"Netherlands",29214,304,3315
2020-03-22,"Spain",28603,2575,1724
2020-04-15,"Netherlands",28153,297,3134
2020-04-11,"Belgium",28018,5986,3346
2020-03-17,"Italy",27980,2749,2158
2020-04-14,"Netherlands",27419,295,2945
2020-03-23,"Germany",27289,422,115
2020-03-22,"United States",27111,178,346
2020-04-06,"Turkey",27069,1042,574
2020-03-25,"Iran",27017,9625,2077
2020-04-10,"Belgium",26667,5568,3019
2020-04-13,"Netherlands",26551,295,2823
2020-03-26,"France",25600,3907,1333
2020-04-12,"Netherlands",25587,291,2737
2020-03-21,"Spain",25374,1588,1326
2020-03-31,"United Kingdom",25150,171,1789
2020-04-09,"Belgium",24983,5164,2523
2020-03-16,"Italy",24938,2335,1809
2020-03-24,"Iran",24811,8913,1934
2020-04-11,"Netherlands",24413,287,2643
2020-03-22,"Germany",23952,266,92
2020-04-05,"Turkey",23934,786,501
2020-04-08,"Belgium",23403,4681,2240
2020-04-10,"Netherlands",23097,280,2511
2020-03-23,"Iran",23049,7913,1812
2020-03-25,"France",22633,3288,1102
2020-04-07,"Belgium",22194,4157,2035
2020-03-30,"United Kingdom",22141,151,1408
2020-04-09,"Netherlands",21762,272,2396
2020-03-21,"Germany",21652,209,73
2020-03-22,"Iran",21638,7913,1685
2020-03-15,"Italy",21270,1966,1441
2020-04-04,"Turkey",20921,484,425
2020-04-06,"Belgium",20814,3986,1632
2020-03-21,"Iran",20610,7635,1556
2020-04-08,"Netherlands",20549,272,2248
2020-03-20,"Spain",20410,1588,1041
2020-03-24,"France",20149,2207,862
2020-04-05,"Belgium",19691,3751,1447
2020-03-20,"Iran",19644,5979,1433
2020-03-21,"United States",19624,147,260
2020-04-07,"Netherlands",19580,262,2101
2020-03-29,"United Kingdom",19522,151,1228
2020-04-06,"Netherlands",18803,262,1867
2020-04-04,"Belgium",18431,2872,1283
2020-03-19,"Iran",18407,5979,1284
2020-04-03,"Turkey",18135,415,356
2020-04-05,"Netherlands",17953,262,1771
2020-03-14,"Italy",17660,1439,1266
2020-03-20,"Germany",17653,192,48
2020-03-18,"Iran",17361,5710,1135
2020-03-19,"Spain",17147,1081,767
2020-03-28,"United Kingdom",17089,151,1019
2020-03-23,"France",16928,2201,676
2020-04-03,"Belgium",16770,2872,1143
2020-04-04,"Netherlands",16627,260,1651
2020-03-17,"Iran",16169,5389,988
2020-04-03,"Netherlands",15819,260,1490
2020-04-02,"Turkey",15679,333,277
2020-03-13,"Italy",15385,1258,1016
2020-04-02,"Belgium",15348,2495,1011
2020-03-16,"Iran",14991,4996,853
2020-04-02,"Netherlands",14779,260,1341
2020-03-27,"United Kingdom",14579,150,759
2020-03-22,"France",14485,1587,562
2020-03-20,"United States",14387,121,204
2020-03-19,"Germany",14259,113,43
2020-04-01,"Belgium",13964,2132,828
2020-03-15,"Iran",13938,4590,724
2020-03-18,"Spain",13910,1081,623
2020-04-01,"Netherlands",13614,253,1173
2020-04-01,"Turkey",13531,243,214
2020-03-31,"Belgium",12775,1696,705
2020-03-14,"Iran",12729,4339,611
2020-03-31,"Netherlands",12662,253,1039
2020-03-21,"France",12632,1587,450
2020-03-12,"Italy",12462,1045,827
2020-03-30,"Belgium",11899,1527,513
2020-03-30,"Netherlands",11750,253,864
2020-03-13,"Iran",11364,3529,514
2020-03-17,"Spain",11309,1028,509
2020-03-20,"France",11010,1300,372
2020-03-29,"Netherlands",10923,0,772
2020-03-29,"Belgium",10836,1063,431
2020-03-31,"Turkey",10827,162,168
2020-03-19,"United States",10525,108,153
2020-03-11,"Italy",10293,1004,631
2020-03-18,"Germany",10082,73,27
2020-03-12,"Iran",10075,3276,429
2020-03-28,"Netherlands",9806,2500,640
2020-03-26,"United Kingdom",9642,142,467
2020-03-16,"Spain",9407,571,335
2020-03-30,"Turkey",9217,105,131
2020-03-10,"Italy",9172,724,463
2020-03-19,"France",9134,602,264
2020-03-28,"Belgium",9134,1063,353
2020-03-11,"Iran",9000,2731,354
2020-03-27,"Netherlands",8603,6,546
2020-03-25,"United Kingdom",8167,140,435
2020-03-10,"Iran",8042,2731,291
2020-03-15,"Spain",7753,571,288
2020-03-18,"France",7730,602,175
2020-03-17,"Germany",7689,67,20
2020-03-26,"Netherlands",7431,6,434
2020-03-09,"Italy",7424,622,366
2020-03-29,"Turkey",7402,70,108
2020-03-27,"Belgium",7284,675,289
2020-03-09,"Iran",7161,2134,237
2020-03-24,"United Kingdom",6733,140,336
2020-03-17,"France",6664,12,148
2020-03-08,"Iran",6566,1669,194
2020-03-18,"United States",6536,106,116
2020-03-25,"Netherlands",6412,3,356
2020-03-16,"Germany",6248,46,13
2020-03-26,"Belgium",6235,461,220
2020-03-08,"Italy",6092,589,233
2020-03-07,"Iran",5823,739,145
2020-03-14,"Spain",5753,193,136
2020-03-23,"United Kingdom",5748,137,289
2020-03-28,"Turkey",5698,42,92
2020-03-24,"Netherlands",5578,3,277
2020-03-16,"France",5423,12,127
2020-03-15,"Germany",5142,49,9
2020-03-17,"United States",5073,56,90
2020-03-22,"United Kingdom",5067,93,234
2020-03-25,"Belgium",4937,461,122
2020-03-23,"Netherlands",4749,3,213
2020-03-06,"Iran",4747,739,124
2020-03-07,"Italy",4680,523,197
2020-03-15,"France",4500,12,91
2020-03-24,"Belgium",4269,461,122
2020-03-22,"Netherlands",4216,2,180
2020-03-13,"Spain",4209,189,120
2020-03-21,"United Kingdom",4014,79,178
2020-03-06,"Italy",3927,414,148
2020-03-16,"United States",3782,56,69
2020-03-23,"Belgium",3743,350,88
2020-03-14,"Germany",3718,46,8
2020-03-14,"France",3667,12,79
2020-03-21,"Netherlands",3631,2,136
2020-03-27,"Turkey",3629,26,75
2020-03-05,"Iran",3513,552,107
2020-03-22,"Belgium",3401,263,75
2020-03-20,"United Kingdom",3280,79,144
2020-03-05,"Italy",3144,276,107
2020-03-13,"Germany",3117,46,7
2020-03-20,"Netherlands",3003,2,107
2020-03-15,"United States",2995,56,60
2020-03-12,"Spain",2968,183,64
2020-03-04,"Iran",2922,552,92
2020-03-13,"France",2876,12,61
2020-03-21,"Belgium",2815,214,67
2020-03-19,"United Kingdom",2644,67,103
2020-03-18,"United Kingdom",2626,53,71
2020-03-04,"Italy",2546,160,79
2020-03-19,"Netherlands",2460,2,76
2020-03-26,"Turkey",2433,0,59
2020-03-03,"Iran",2336,435,77
2020-03-14,"United States",2291,41,50
2020-03-12,"France",2284,12,48
2020-03-20,"Belgium",2257,214,37
2020-03-11,"Spain",2174,183,49
2020-03-03,"Italy",2084,149,52
2020-03-12,"Germany",2078,35,3
2020-03-18,"Netherlands",2058,2,43
2020-03-17,"United Kingdom",1950,53,56
2020-03-25,"Turkey",1872,0,44
2020-03-13,"United States",1832,31,41
2020-03-19,"Belgium",1795,31,21
2020-03-11,"France",1784,12,33
2020-03-02,"Italy",1731,83,42
2020-03-17,"Netherlands",1705,2,43
2020-03-10,"Spain",1648,30,35
2020-03-10,"France",1606,12,30
2020-03-11,"Germany",1565,18,3
2020-03-16,"United Kingdom",1543,19,35
2020-03-24,"Turkey",1529,0,37
2020-03-02,"Iran",1501,291,66
2020-03-18,"Belgium",1486,1,10
2020-03-16,"Netherlands",1413,0,24
2020-03-12,"United States",1323,10,38
2020-03-17,"Belgium",1243,1,10
2020-03-23,"Turkey",1236,0,30
2020-03-09,"France",1209,12,21
2020-03-15,"United Kingdom",1145,19,21
2020-03-14,"United Kingdom",1140,19,21
2020-03-10,"Germany",1139,18,2
2020-03-15,"Netherlands",1135,0,20
2020-03-01,"Italy",1128,50,29
2020-03-09,"Germany",1112,18,0
2020-03-16,"Belgium",1058,1,5
2020-03-11,"United States",1004,10,31
2020-03-08,"France",949,12,16
2020-03-22,"Turkey",947,0,21
2020-03-08,"Germany",939,18,0
2020-03-09,"Spain",909,30,25
2020-02-29,"Italy",889,46,21
2020-03-15,"Belgium",886,1,4
2020-03-14,"Netherlands",807,0,10
2020-03-13,"Netherlands",804,0,5
2020-03-13,"United Kingdom",798,19,10
2020-03-10,"United States",717,10,26
2020-03-07,"France",716,12,11
2020-03-14,"Belgium",689,1,3
2020-03-07,"Germany",684,17,0
2020-03-21,"Turkey",670,0,9
2020-02-28,"Italy",653,45,17
2020-03-12,"Netherlands",614,0,5
2020-03-08,"Spain",613,30,13
2020-02-29,"Iran",593,123,43
2020-03-01,"Iran",593,123,54
2020-03-12,"United Kingdom",590,19,10
2020-03-06,"France",577,12,9
2020-03-09,"United States",572,10,22
2020-03-06,"Germany",565,16,0
2020-02-27,"Italy",528,40,14
2020-03-11,"Netherlands",503,0,5
2020-03-11,"United Kingdom",456,18,6
2020-03-08,"United States",445,10,19
2020-03-07,"Spain",430,3,8
2020-03-12,"Belgium",399,1,3
2020-03-13,"Belgium",399,1,3
2020-02-28,"Iran",388,54,34
2020-03-10,"Netherlands",382,0,3
2020-03-05,"France",377,12,6
2020-02-26,"Italy",374,1,12
2020-03-10,"United Kingdom",373,18,6
2020-03-06,"Spain",365,3,5
2020-03-20,"Turkey",359,0,4
2020-03-05,"Germany",349,16,0
2020-03-07,"United States",338,10,17
2020-03-09,"Netherlands",321,0,3
2020-03-09,"United Kingdom",319,18,3
2020-03-11,"Belgium",314,1,1
2020-02-25,"Italy",283,1,7
2020-03-08,"United Kingdom",273,18,2
2020-03-10,"Belgium",267,1,0
2020-03-08,"Netherlands",265,0,1
2020-03-04,"France",257,12,4
2020-03-05,"Spain",248,3,2
2020-02-27,"Iran",245,54,26
2020-03-04,"Germany",240,16,0
2020-03-09,"Belgium",239,1,0
2020-03-06,"United States",233,3,14
2020-02-24,"Italy",230,1,7
2020-03-07,"United Kingdom",206,8,2
2020-03-03,"France",204,12,3
2020-03-08,"Belgium",200,1,0
2020-03-03,"Germany",196,16,0
2020-03-19,"Turkey",191,0,2
2020-03-04,"Spain",179,3,1
2020-03-07,"Belgium",169,1,0
2020-03-06,"United Kingdom",163,8,1
2020-03-05,"United States",161,3,11
2020-03-02,"Germany",150,16,0
2020-03-03,"Spain",150,3,0
2020-02-26,"Iran",139,21,19
2020-02-23,"Italy",132,0,2
2020-03-02,"France",130,12,2
2020-03-06,"Netherlands",128,0,1
2020-03-07,"Netherlands",128,0,1
2020-03-04,"United States",126,3,9
2020-03-01,"Germany",117,16,0
2020-03-06,"Belgium",109,1,0
2020-03-03,"United States",106,3,6
2020-03-01,"France",100,12,2
2020-03-18,"Turkey",98,0,1
2020-02-25,"Iran",95,21,16
2020-03-05,"United Kingdom",90,8,0
2020-03-02,"United States",89,3,2
2020-03-04,"United Kingdom",85,8,0
2020-03-05,"Netherlands",82,0,0
2020-03-01,"Spain",74,2,0
2020-03-02,"Spain",74,2,0
2020-02-29,"France",73,12,2
2020-03-01,"United States",69,3,1
2020-02-29,"Germany",66,16,0
2020-02-29,"United States",64,3,0
2020-02-24,"Iran",61,0,12
2020-02-27,"United States",60,3,0
2020-02-28,"United States",60,3,0
2020-02-26,"United States",57,3,0
2020-02-25,"United States",53,3,0
2020-02-28,"Germany",53,14,0
2020-03-03,"United Kingdom",51,8,0
2020-03-05,"Belgium",50,1,0
2020-03-17,"Turkey",47,0,0
2020-02-28,"France",41,12,2
2020-02-29,"Spain",41,2,0
2020-03-02,"United Kingdom",40,8,0
2020-03-04,"Netherlands",38,0,0
2020-03-01,"United Kingdom",35,8,0
2020-02-22,"United States",34,3,0
2020-02-23,"United States",34,3,0
2020-02-24,"United States",34,3,0
2020-02-22,"Italy",33,0,2
2020-02-22,"Iran",28,0,4
2020-02-23,"Iran",28,0,4
2020-02-27,"Germany",27,14,0
2020-02-28,"Spain",25,2,0
2020-03-03,"Netherlands",24,0,0
2020-02-29,"United Kingdom",23,8,0
2020-03-04,"Belgium",23,1,0
2020-02-26,"Germany",19,14,0
2020-02-28,"United Kingdom",19,8,0
2020-02-21,"Iran",18,0,2
2020-02-27,"France",18,11,2
2020-03-16,"Turkey",18,0,0
2020-02-26,"France",17,11,2
2020-02-12,"Germany",16,0,0
2020-02-13,"Germany",16,1,0
2020-02-14,"Germany",16,1,0
2020-02-15,"Germany",16,1,0
2020-02-16,"Germany",16,1,0
2020-02-17,"Germany",16,1,0
2020-02-18,"Germany",16,7,0
2020-02-19,"Germany",16,7,0
2020-02-20,"Germany",16,7,0
2020-02-21,"Germany",16,7,0
2020-02-22,"Germany",16,7,0
2020-02-23,"Germany",16,7,0
2020-02-24,"Germany",16,14,0
2020-02-25,"Germany",16,14,0
2020-02-14,"United States",15,3,0
2020-02-15,"United States",15,3,0
2020-02-16,"United States",15,3,0
2020-02-17,"United States",15,3,0
2020-02-18,"United States",15,3,0
2020-02-19,"United States",15,3,0
2020-02-20,"United States",15,3,0
2020-02-21,"United States",15,3,0
2020-02-27,"United Kingdom",15,8,0
2020-02-09,"Germany",14,0,0
2020-02-10,"Germany",14,0,0
2020-02-11,"Germany",14,0,0
2020-02-13,"United States",14,3,0
2020-02-07,"Germany",13,0,0
2020-02-08,"Germany",13,0,0
2020-02-11,"United States",13,3,0
2020-02-12,"United States",13,3,0
2020-02-24,"United Kingdom",13,8,0
2020-02-25,"United Kingdom",13,8,0
2020-02-26,"United Kingdom",13,8,0
2020-02-27,"Spain",13,2,0
2020-03-03,"Belgium",13,1,0
2020-02-06,"Germany",12,0,0
2020-02-06,"United States",12,1,0
2020-02-07,"United States",12,1,0
2020-02-08,"United States",12,3,0
2020-02-09,"United States",12,3,0
2020-02-10,"United States",12,3,0
2020-02-16,"France",12,4,1
2020-02-17,"France",12,4,1
2020-02-18,"France",12,4,1
2020-02-19,"France",12,4,1
2020-02-20,"France",12,4,1
2020-02-21,"France",12,4,1
2020-02-22,"France",12,4,1
2020-02-23,"France",12,4,1
2020-02-24,"France",12,4,1
2020-02-25,"France",12,11,1
2020-02-08,"France",11,0,0
2020-02-09,"France",11,0,0
2020-02-10,"France",11,0,0
2020-02-11,"France",11,0,0
2020-02-12,"France",11,0,0
2020-02-13,"France",11,0,0
2020-02-14,"France",11,0,0
2020-02-15,"France",11,0,1
2020-03-02,"Netherlands",10,0,0
2020-02-13,"United Kingdom",9,1,0
2020-02-14,"United Kingdom",9,1,0
2020-02-15,"United Kingdom",9,1,0
2020-02-16,"United Kingdom",9,8,0
2020-02-17,"United Kingdom",9,8,0
2020-02-18,"United Kingdom",9,8,0
2020-02-19,"United Kingdom",9,8,0
2020-02-20,"United Kingdom",9,8,0
2020-02-21,"United Kingdom",9,8,0
2020-02-22,"United Kingdom",9,8,0
2020-02-23,"United Kingdom",9,8,0
2020-02-10,"United Kingdom",8,0,0
2020-02-11,"United Kingdom",8,0,0
2020-02-12,"United Kingdom",8,1,0
2020-03-02,"Belgium",8,1,0
2020-02-26,"Spain",7,2,0
2020-03-01,"Netherlands",7,0,0
2020-02-06,"France",6,0,0
2020-02-07,"France",6,0,0
2020-03-15,"Turkey",6,0,0
2020-01-27,"United States",5,0,0
2020-01-28,"United States",5,0,0
2020-01-29,"United States",5,0,0
2020-01-30,"France",5,0,0
2020-01-30,"United States",5,0,0
2020-01-31,"France",5,0,0
2020-01-31,"United States",5,0,0
2020-02-01,"France",5,0,0
2020-02-01,"United States",5,0,0
2020-02-02,"France",5,0,0
2020-02-02,"United States",5,0,0
2020-02-03,"France",5,0,0
2020-02-03,"United States",5,0,0
2020-02-20,"Iran",5,0,2
2020-03-14,"Turkey",5,0,0
2020-01-29,"Germany",4,0,0
2020-01-29,"France",4,0,0
2020-01-30,"Germany",4,0,0
2020-01-31,"Germany",4,0,0
2020-02-01,"Germany",4,0,0
2020-02-02,"Germany",4,0,0
2020-02-03,"Germany",4,0,0
2020-02-09,"United Kingdom",4,0,0
2020-02-29,"Netherlands",4,0,0
2020-01-25,"France",3,0,0
2020-01-26,"France",3,0,0
2020-01-26,"United States",3,0,0
2020-01-27,"France",3,0,0
2020-01-28,"France",3,0,0
2020-02-07,"Italy",3,0,0
2020-02-07,"United Kingdom",3,0,0
2020-02-08,"Italy",3,0,0
2020-02-08,"United Kingdom",3,0,0
2020-02-09,"Italy",3,0,0
2020-02-10,"Italy",3,0,0
2020-02-11,"Italy",3,0,0
2020-02-12,"Italy",3,0,0
2020-02-13,"Italy",3,0,0
2020-02-14,"Italy",3,0,0
2020-02-15,"Italy",3,0,0
2020-02-16,"Italy",3,0,0
2020-02-17,"Italy",3,0,0
2020-02-18,"Italy",3,0,0
2020-02-19,"Italy",3,0,0
2020-02-20,"Italy",3,0,0
2020-02-21,"Italy",3,0,0
2020-02-25,"Spain",3,2,0
2020-01-24,"France",2,0,0
2020-01-24,"United States",2,0,0
2020-01-25,"United States",2,0,0
2020-02-06,"Italy",2,0,0
2020-02-06,"United Kingdom",2,0,0
2020-02-09,"Spain",2,0,0
2020-02-10,"Spain",2,0,0
2020-02-11,"Spain",2,0,0
2020-02-12,"Spain",2,0,0
2020-02-13,"Spain",2,0,0
2020-02-14,"Spain",2,0,0
2020-02-15,"Spain",2,0,0
2020-02-16,"Spain",2,0,0
2020-02-17,"Spain",2,0,0
2020-02-18,"Spain",2,0,0
2020-02-19,"Spain",2,0,0
2020-02-20,"Spain",2,0,0
2020-02-21,"Spain",2,0,0
2020-02-22,"Spain",2,0,0
2020-02-23,"Spain",2,0,0
2020-02-24,"Spain",2,0,0
2020-02-28,"Netherlands",2,0,0
2020-03-01,"Belgium",2,1,0
2020-03-13,"Turkey",2,0,0
2020-01-22,"United States",1,0,0
2020-01-23,"United States",1,0,0
2020-01-28,"Germany",1,0,0
2020-02-06,"Belgium",1,0,0
2020-02-06,"Spain",1,0,0
2020-02-07,"Belgium",1,0,0
2020-02-07,"Spain",1,0,0
2020-02-08,"Belgium",1,0,0
2020-02-08,"Spain",1,0,0
2020-02-09,"Belgium",1,0,0
2020-02-10,"Belgium",1,0,0
2020-02-11,"Belgium",1,0,0
2020-02-12,"Belgium",1,0,0
2020-02-13,"Belgium",1,0,0
2020-02-14,"Belgium",1,0,0
2020-02-15,"Belgium",1,0,0
2020-02-16,"Belgium",1,1,0
2020-02-17,"Belgium",1,1,0
2020-02-18,"Belgium",1,1,0
2020-02-19,"Belgium",1,1,0
2020-02-20,"Belgium",1,1,0
2020-02-21,"Belgium",1,1,0
2020-02-22,"Belgium",1,1,0
2020-02-23,"Belgium",1,1,0
2020-02-24,"Belgium",1,1,0
2020-02-25,"Belgium",1,1,0
2020-02-26,"Belgium",1,1,0
2020-02-27,"Belgium",1,1,0
2020-02-28,"Belgium",1,1,0
2020-02-29,"Belgium",1,1,0
2020-03-11,"Turkey",1,0,0
2020-03-12,"Turkey",1,0,0
