"time","province","total_confirm","total_heal","total_dead"
2020-01-23,"Jiangsu",9,0,0
2020-01-23,"Jiangxi",7,0,0
2020-01-23,"Jilin",3,0,0
2020-01-23,"Liaoning",4,0,0
2020-01-23,"Ningxia",2,0,0
2020-01-23,"Shaanxi",5,0,0
2020-01-23,"Shandong",9,0,0
2020-01-23,"Shanxi",1,0,0
2020-01-23,"Sichuan",15,0,0
2020-01-23,"Xinjiang",2,0,0
2020-01-23,"Yunnan",2,0,0
2020-01-23,"Zhejiang",22,1,0
2020-01-24,"Anhui",39,0,0
2020-01-24,"Beijing",36,0,0
2020-01-24,"Chongqing",57,0,0
2020-01-24,"Fujian",10,0,0
2020-01-24,"Guangdong",78,2,0
2020-01-24,"Guangxi",23,0,0
2020-01-24,"Guizhou",4,0,0
2020-01-24,"Hainan",17,0,0
2020-01-24,"Hebei",8,0,1
2020-01-24,"Heilongjiang",9,0,1
2020-01-24,"Henan",32,0,0
2020-01-24,"Hunan",43,0,0
2020-01-24,"Inner Mongolia",2,0,0
2020-01-24,"Jiangsu",18,1,0
2020-01-24,"Jiangxi",18,0,0
2020-01-24,"Jilin",4,0,0
2020-01-24,"Liaoning",12,0,0
2020-01-24,"Ningxia",3,0,0
2020-01-24,"Qinghai",0,0,0
2020-01-24,"Shandong",21,0,0
2020-01-24,"Shanxi",6,0,0
2020-01-24,"Sichuan",28,0,0
2020-01-24,"Xinjiang",3,0,0
2020-01-24,"Yunnan",5,0,0
2020-01-24,"Zhejiang",62,1,0
2020-01-25,"Anhui",60,0,0
2020-01-25,"Beijing",41,0,0
2020-01-25,"Chongqing",75,0,0
2020-01-25,"Fujian",18,0,0
2020-01-25,"Gansu",7,0,0
2020-01-25,"Guangdong",98,2,0
2020-01-25,"Guangxi",33,0,0
2020-01-25,"Guizhou",5,0,0
2020-01-25,"Hainan",22,0,0
2020-01-25,"Hebei",13,0,1
2020-01-25,"Heilongjiang",15,0,1
2020-01-25,"Henan",83,0,1
2020-01-25,"Hunan",69,0,0
2020-01-25,"Inner Mongolia",7,0,0
2020-01-25,"Jiangsu",31,1,0
2020-01-25,"Jiangxi",36,0,0
2020-01-25,"Jilin",4,0,0
2020-01-25,"Liaoning",16,0,0
2020-01-25,"Ningxia",4,0,0
2020-01-25,"Qinghai",1,0,0
2020-01-25,"Shandong",39,0,0
2020-01-25,"Shanxi",9,0,0
2020-01-25,"Sichuan",44,0,0
2020-01-25,"Tianjin",10,0,0
2020-01-25,"Xinjiang",4,0,0
2020-01-25,"Yunnan",11,0,0
2020-01-25,"Zhejiang",104,1,0
2020-01-26,"Anhui",70,0,0
2020-01-26,"Beijing",68,0,0
2020-01-26,"Chongqing",110,0,0
2020-01-26,"Fujian",35,0,0
2020-01-26,"Gansu",14,0,0
2020-01-26,"Guangdong",146,2,0
2020-01-26,"Guangxi",46,0,0
2020-01-26,"Guizhou",7,0,0
2020-01-26,"Hainan",31,0,0
2020-01-26,"Hebei",18,0,1
2020-01-26,"Heilongjiang",21,0,1
2020-01-26,"Henan",128,0,1
2020-01-26,"Hunan",100,0,0
2020-01-26,"Inner Mongolia",11,0,0
2020-01-26,"Jiangsu",47,1,0
2020-01-26,"Jiangxi",48,0,0
2020-01-26,"Jilin",6,0,0
2020-01-26,"Liaoning",22,0,0
2020-01-26,"Ningxia",7,0,0
2020-01-26,"Qinghai",4,0,0
2020-01-26,"Shaanxi",35,0,0
2020-01-26,"Shandong",63,0,0
2020-01-26,"Shanghai",29,0,0
2020-01-26,"Shanxi",13,0,0
2020-01-26,"Sichuan",69,0,0
2020-01-26,"Tianjin",14,0,0
2020-01-26,"Xinjiang",5,0,0
2020-01-26,"Yunnan",19,0,0
2020-01-26,"Zhejiang",128,1,0
2020-01-27,"Anhui",106,0,0
2020-01-27,"Beijing",80,0,0
2020-01-27,"Chongqing",132,0,0
2020-01-27,"Fujian",59,0,0
2020-01-27,"Gansu",19,0,0
2020-01-27,"Guangdong",188,2,0
2020-01-27,"Guangxi",51,0,0
2020-01-27,"Guizhou",9,0,0
2020-01-27,"Hainan",40,0,0
2020-01-27,"Hebei",33,0,1
2020-01-27,"Heilongjiang",30,0,1
2020-01-27,"Henan",168,0,1
2020-01-27,"Hunan",143,0,0
2020-01-27,"Inner Mongolia",13,0,0
2020-01-27,"Jiangsu",70,1,0
2020-01-27,"Jiangxi",72,0,0
2020-01-27,"Jilin",8,0,0
2020-01-27,"Liaoning",27,0,0
2020-01-27,"Ningxia",11,0,0
2020-01-27,"Qinghai",6,0,0
2020-01-27,"Shaanxi",46,0,0
2020-01-27,"Shandong",87,0,0
2020-01-27,"Shanghai",66,0,0
2020-01-27,"Shanxi",20,0,0
2020-01-27,"Sichuan",90,0,0
2020-01-27,"Tianjin",23,0,0
2020-01-27,"Xinjiang",10,0,0
2020-01-27,"Yunnan",44,0,0
2020-01-27,"Zhejiang",173,1,0
2020-01-28,"Anhui",152,0,0
2020-01-28,"Beijing",91,0,0
2020-01-28,"Chongqing",147,0,0
2020-01-28,"Fujian",80,0,0
2020-01-28,"Gansu",24,0,0
2020-01-28,"Guangdong",241,2,0
2020-01-28,"Guangxi",58,2,0
2020-01-28,"Guizhou",9,1,0
2020-01-28,"Hainan",43,0,0
2020-01-28,"Hebei",48,0,1
2020-01-28,"Heilongjiang",37,0,1
2020-01-28,"Henan",206,0,1
2020-01-28,"Hunan",221,0,0
2020-01-28,"Inner Mongolia",16,0,0
2020-01-28,"Jiangsu",99,1,0
2020-01-28,"Jiangxi",109,3,0
2020-01-28,"Jilin",9,0,0
2020-01-28,"Liaoning",34,0,0
2020-01-28,"Ningxia",12,0,0
2020-01-28,"Qinghai",6,0,0
2020-01-28,"Shaanxi",56,0,0
2020-01-28,"Shandong",121,0,0
2020-01-28,"Shanghai",80,0,0
2020-01-28,"Shanxi",27,0,0
2020-01-28,"Sichuan",108,0,0
2020-01-28,"Tianjin",24,0,0
2020-01-28,"Tibet",0,0,0
2020-01-28,"Xinjiang",13,0,0
2020-01-28,"Yunnan",51,0,0
2020-01-28,"Zhejiang",296,3,0
2020-01-29,"Anhui",200,2,0
2020-01-29,"Beijing",114,0,1
2020-01-29,"Chongqing",165,1,0
2020-01-29,"Fujian",101,0,0
2020-01-29,"Gansu",26,0,0
2020-01-29,"Guangdong",311,2,0
2020-01-29,"Guangxi",78,2,0
2020-01-29,"Guizhou",12,1,0
2020-01-29,"Hainan",46,0,0
2020-01-29,"Hebei",65,0,1
2020-01-29,"Heilongjiang",43,0,1
2020-01-29,"Henan",278,0,1
2020-01-29,"Hunan",277,0,0
2020-01-29,"Inner Mongolia",19,0,0
2020-01-29,"Jiangsu",129,1,0
2020-01-29,"Jiangxi",162,3,0
2020-01-29,"Jilin",14,0,0
2020-01-29,"Liaoning",41,1,0
2020-01-29,"Ningxia",17,0,0
2020-01-29,"Qinghai",6,0,0
2020-01-29,"Shaanxi",63,0,0
2020-01-29,"Shandong",145,1,0
2020-01-29,"Shanghai",101,0,0
2020-01-29,"Shanxi",35,1,0
2020-01-29,"Sichuan",142,0,0
2020-01-29,"Tianjin",27,0,0
2020-01-29,"Tibet",1,0,0
2020-01-29,"Xinjiang",14,0,0
2020-01-29,"Yunnan",70,0,0
2020-01-29,"Zhejiang",428,4,0
2020-01-30,"Anhui",237,3,0
2020-01-30,"Beijing",132,0,0
2020-01-30,"Chongqing",206,1,0
2020-01-30,"Fujian",120,0,0
2020-01-30,"Gansu",29,0,0
2020-01-30,"Guangdong",393,2,0
2020-01-30,"Guangxi",87,2,0
2020-01-30,"Guizhou",15,1,0
2020-01-30,"Hainan",49,0,0
2020-01-30,"Hebei",82,0,1
2020-01-30,"Heilongjiang",59,0,2
2020-01-30,"Henan",353,0,1
2020-01-30,"Hong Kong",10,0,0
2020-01-30,"Hunan",332,2,0
2020-01-30,"Inner Mongolia",21,0,0
2020-01-30,"Jiangsu",168,2,0
2020-01-30,"Jiangxi",240,7,0
2020-01-30,"Jilin",14,1,0
2020-01-30,"Liaoning",45,1,0
2020-01-30,"Macau",7,0,0
2020-01-30,"Ningxia",21,0,0
2020-01-30,"Qinghai",8,0,0
2020-01-30,"Shaanxi",87,0,0
2020-01-30,"Shandong",178,2,0
2020-01-30,"Shanghai",128,0,0
2020-01-30,"Shanxi",39,1,0
2020-01-30,"Sichuan",177,0,0
2020-01-30,"Taiwan",9,0,0
2020-01-30,"Tianjin",31,0,0
2020-01-30,"Tibet",1,0,0
2020-01-30,"Xinjiang",17,0,0
2020-01-30,"Yunnan",80,0,0
2020-01-30,"Zhejiang",537,9,0
2020-01-31,"Anhui",303,3,0
2020-01-31,"Beijing",156,0,0
2020-01-31,"Chongqing",237,1,1
2020-01-31,"Fujian",144,0,0
2020-01-31,"Gansu",35,0,0
2020-01-31,"Guangdong",520,0,0
2020-01-31,"Guangxi",100,2,0
2020-01-31,"Guizhou",29,2,0
2020-01-31,"Hainan",57,0,0
2020-01-31,"Hebei",96,0,1
2020-01-31,"Heilongjiang",80,0,2
2020-01-31,"Henan",423,0,1
2020-01-31,"Hong Kong",10,0,0
2020-01-31,"Hunan",389,3,0
2020-01-31,"Inner Mongolia",24,1,0
2020-01-31,"Jiangsu",202,5,0
2020-01-31,"Jiangxi",286,9,0
2020-01-31,"Jilin",16,1,0
2020-01-31,"Liaoning",60,1,0
2020-01-31,"Macau",7,0,0
2020-01-31,"Ningxia",26,0,0
2020-01-31,"Qinghai",9,0,0
2020-01-31,"Shaanxi",101,0,0
2020-01-31,"Shandong",202,2,0
2020-01-31,"Shanghai",153,0,0
2020-01-31,"Shanxi",47,1,0
2020-01-31,"Sichuan",207,0,0
2020-01-31,"Taiwan",9,0,0
2020-01-31,"Tianjin",32,0,0
2020-01-31,"Tibet",1,0,0
2020-01-31,"Xinjiang",18,0,0
2020-01-31,"Yunnan",91,1,0
2020-01-31,"Zhejiang",428,3,0
2020-02-01,"Anhui",346,5,0
2020-02-01,"Beijing",183,0,0
2020-02-01,"Chongqing",262,3,1
2020-02-01,"Fujian",159,0,0
2020-02-01,"Gansu",40,0,0
2020-02-01,"Guangdong",604,0,0
2020-02-01,"Guangxi",111,2,0
2020-02-01,"Guizhou",38,2,0
2020-02-01,"Hainan",63,0,0
2020-02-01,"Hebei",104,3,1
2020-02-01,"Heilongjiang",95,0,2
2020-02-01,"Henan",494,0,1
2020-02-01,"Hong Kong",10,0,0
2020-02-01,"Hunan",463,3,0
2020-02-01,"Inner Mongolia",28,1,0
2020-02-01,"Jiangsu",236,6,0
2020-02-01,"Jiangxi",333,10,0
2020-02-01,"Jilin",22,1,0
2020-02-01,"Liaoning",64,1,0
2020-02-01,"Macau",7,0,0
2020-02-01,"Ningxia",28,0,0
2020-02-01,"Qinghai",9,0,0
2020-02-01,"Shaanxi",116,0,0
2020-02-01,"Shandong",225,2,0
2020-02-01,"Shanghai",177,0,0
2020-02-01,"Shanxi",56,1,0
2020-02-01,"Sichuan",231,0,0
2020-02-01,"Taiwan",9,0,0
2020-02-01,"Tianjin",41,0,0
2020-02-01,"Tibet",1,0,0
2020-02-01,"Xinjiang",21,0,0
2020-02-01,"Yunnan",99,2,0
2020-02-01,"Zhejiang",661,23,0
2020-02-02,"Anhui",414,7,0
2020-02-02,"Beijing",212,0,0
2020-02-02,"Chongqing",300,7,2
2020-02-02,"Fujian",179,0,0
2020-02-02,"Gansu",48,0,0
2020-02-02,"Guangdong",683,0,0
2020-02-02,"Guangxi",127,2,0
2020-02-02,"Guizhou",39,2,0
2020-02-02,"Hainan",70,0,0
2020-02-02,"Hebei",113,3,1
2020-02-02,"Heilongjiang",118,2,2
2020-02-02,"Henan",568,0,1
2020-02-02,"Hong Kong",10,0,0
2020-02-02,"Hunan",521,16,0
2020-02-02,"Inner Mongolia",35,1,0
2020-02-02,"Jiangsu",271,7,0
2020-02-02,"Jiangxi",391,18,0
2020-02-02,"Jilin",30,1,0
2020-02-02,"Liaoning",70,1,0
2020-02-02,"Macau",7,0,0
2020-02-02,"Ningxia",31,0,0
2020-02-02,"Qinghai",13,0,0
2020-02-02,"Shaanxi",73,0,0
2020-02-02,"Shandong",246,6,0
2020-02-02,"Shanghai",193,0,0
2020-02-02,"Shanxi",66,2,0
2020-02-02,"Sichuan",254,0,0
2020-02-02,"Taiwan",9,0,0
2020-02-02,"Tianjin",48,1,0
2020-02-02,"Tibet",1,0,0
2020-02-02,"Xinjiang",24,0,0
2020-02-02,"Yunnan",109,3,0
2020-02-02,"Zhejiang",724,36,0
2020-02-03,"Anhui",486,14,0
2020-02-03,"Beijing",228,0,0
2020-02-03,"Chongqing",337,9,2
2020-02-03,"Fujian",194,0,0
2020-02-03,"Gansu",52,0,0
2020-02-03,"Guangdong",797,0,0
2020-02-03,"Guangxi",139,7,0
2020-02-03,"Guizhou",46,2,0
2020-02-03,"Hainan",79,0,0
2020-02-03,"Hebei",126,3,1
2020-02-03,"Heilongjiang",155,2,2
2020-02-03,"Henan",677,0,1
2020-02-03,"Hong Kong",10,0,0
2020-02-03,"Hunan",593,22,0
2020-02-03,"Inner Mongolia",36,1,0
2020-02-03,"Jiangsu",308,8,0
2020-02-03,"Jiangxi",476,19,0
2020-02-03,"Jilin",41,1,0
2020-02-03,"Liaoning",74,1,0
2020-02-03,"Macau",7,0,0
2020-02-03,"Ningxia",34,0,0
2020-02-03,"Qinghai",15,0,0
2020-02-03,"Shaanxi",142,0,0
2020-02-03,"Shandong",270,7,0
2020-02-03,"Shanghai",208,0,0
2020-02-03,"Shanxi",74,2,0
2020-02-03,"Sichuan",282,0,0
2020-02-03,"Taiwan",9,0,0
2020-02-03,"Tianjin",60,1,0
2020-02-03,"Tibet",1,0,0
2020-02-03,"Xinjiang",29,0,0
2020-02-03,"Yunnan",117,0,0
2020-02-03,"Zhejiang",829,48,0
2020-02-04,"Anhui",530,20,0
2020-02-04,"Beijing",253,0,0
2020-02-04,"Chongqing",365,14,2
2020-02-04,"Fujian",205,0,0
2020-02-04,"Gansu",53,0,0
2020-02-04,"Guangdong",870,0,0
2020-02-04,"Guangxi",150,0,0
2020-02-04,"Guizhou",61,5,0
2020-02-04,"Hainan",89,0,0
2020-02-04,"Hebei",135,4,1
2020-02-04,"Heilongjiang",190,4,2
2020-02-04,"Henan",764,0,1
2020-02-04,"Hunan",661,35,0
2020-02-04,"Inner Mongolia",42,1,0
2020-02-04,"Jiangsu",264,13,0
2020-02-04,"Jiangxi",548,27,0
2020-02-04,"Jilin",53,1,0
2020-02-04,"Liaoning",81,2,0
2020-02-04,"Ningxia",34,0,0
2020-02-04,"Qinghai",17,0,0
2020-02-04,"Shaanxi",165,0,0
2020-02-04,"Shandong",298,12,0
2020-02-04,"Shanghai",233,0,0
2020-02-04,"Shanxi",81,4,0
2020-02-04,"Sichuan",301,0,0
2020-02-04,"Tianjin",67,2,0
2020-02-04,"Tibet",1,0,0
2020-02-04,"Xinjiang",32,0,0
2020-02-04,"Yunnan",122,0,0
2020-02-04,"Zhejiang",895,63,0
2020-02-05,"Anhui",591,23,0
2020-02-05,"Beijing",274,0,0
2020-02-05,"Chongqing",388,15,2
2020-02-05,"Fujian",215,0,0
2020-02-05,"Gansu",56,0,0
2020-02-05,"Guangdong",944,0,0
2020-02-05,"Guangxi",168,14,0
2020-02-05,"Guizhou",69,6,0
2020-02-05,"Hainan",100,0,0
2020-02-05,"Hebei",157,7,1
2020-02-05,"Heilongjiang",227,7,3
2020-02-05,"Henan",851,0,1
2020-02-05,"Hunan",711,56,0
2020-02-05,"Inner Mongolia",46,4,0
2020-02-05,"Jiangsu",373,26,0
2020-02-05,"Jiangxi",600,37,0
2020-02-05,"Jilin",57,2,0
2020-02-05,"Liaoning",89,2,0
2020-02-05,"Ningxia",40,1,0
2020-02-05,"Qinghai",18,0,0
2020-02-05,"Shaanxi",173,0,0
2020-02-05,"Shandong",343,18,0
2020-02-05,"Shanghai",254,15,0
2020-02-05,"Shanxi",90,6,0
2020-02-05,"Sichuan",321,0,0
2020-02-05,"Tibet",1,0,0
2020-02-05,"Xinjiang",36,0,0
2020-02-05,"Yunnan",128,0,0
2020-02-05,"Zhejiang",954,81,0
2020-02-06,"Anhui",665,34,0
2020-02-06,"Beijing",297,0,0
2020-02-06,"Chongqing",411,24,2
2020-02-06,"Fujian",224,0,0
2020-02-06,"Gansu",58,0,0
2020-02-06,"Guangdong",1018,0,0
2020-02-06,"Guangxi",172,0,0
2020-02-06,"Guizhou",77,6,0
2020-02-06,"Hainan",111,0,0
2020-02-06,"Hebei",171,16,1
2020-02-06,"Heilongjiang",277,8,3
2020-02-06,"Henan",914,0,1
2020-02-06,"Hong Kong",21,0,1
2020-02-06,"Hunan",772,91,0
2020-02-06,"Inner Mongolia",50,0,0
2020-02-06,"Jiangsu",408,38,0
2020-02-06,"Jiangxi",661,45,0
2020-02-06,"Jilin",60,4,1
2020-02-06,"Liaoning",95,0,0
2020-02-06,"Macau",10,1,0
2020-02-06,"Ningxia",43,1,0
2020-02-06,"Qinghai",18,0,0
2020-02-06,"Shaanxi",184,11,0
2020-02-06,"Shandong",379,31,0
2020-02-06,"Shanghai",269,25,0
2020-02-06,"Shanxi",96,6,0
2020-02-06,"Sichuan",344,0,0
2020-02-06,"Taiwan",13,0,0
2020-02-06,"Tianjin",79,2,0
2020-02-06,"Tibet",1,0,0
2020-02-06,"Xinjiang",41,0,0
2020-02-06,"Yunnan",135,0,0
2020-02-06,"Zhejiang",1006,98,0
2020-02-07,"Anhui",733,47,0
2020-02-07,"Beijing",297,33,1
2020-02-07,"Chongqing",426,31,2
2020-02-07,"Fujian",224,20,0
2020-02-07,"Gansu",71,9,1
2020-02-07,"Guangdong",1075,97,1
2020-02-07,"Guangxi",183,17,0
2020-02-07,"Guizhou",89,6,1
2020-02-07,"Hainan",124,11,2
2020-02-07,"Hebei",195,25,1
2020-02-07,"Heilongjiang",296,12,5
2020-02-07,"Henan",981,97,4
2020-02-07,"Hunan",803,119,0
2020-02-07,"Inner Mongolia",50,5,0
2020-02-07,"Jiangsu",439,43,0
2020-02-07,"Jiangxi",698,55,0
2020-02-07,"Jilin",69,4,1
2020-02-07,"Liaoning",99,7,0
2020-02-07,"Ningxia",45,3,0
2020-02-07,"Qinghai",18,3,0
2020-02-07,"Shaanxi",195,17,0
2020-02-07,"Shandong",407,38,0
2020-02-07,"Shanghai",281,30,1
2020-02-07,"Shanxi",104,15,0
2020-02-07,"Sichuan",363,50,1
2020-02-07,"Tianjin",81,2,1
2020-02-07,"Tibet",1,0,0
2020-02-07,"Xinjiang",39,0,0
2020-02-07,"Yunnan",138,12,0
2020-02-07,"Zhejiang",1048,127,0
2020-02-08,"Anhui",779,59,1
2020-02-08,"Beijing",315,34,2
2020-02-08,"Chongqing",446,39,2
2020-02-08,"Fujian",239,24,0
2020-02-08,"Gansu",79,12,1
2020-02-08,"Guangdong",1120,125,1
2020-02-08,"Guangxi",195,18,1
2020-02-08,"Guizhou",96,7,1
2020-02-08,"Hainan",128,15,2
2020-02-08,"Hebei",206,30,2
2020-02-08,"Heilongjiang",307,13,6
2020-02-08,"Henan",1033,131,6
2020-02-08,"Hunan",838,159,1
2020-02-08,"Inner Mongolia",54,5,0
2020-02-08,"Jiangsu",468,51,0
2020-02-08,"Jiangxi",740,72,0
2020-02-08,"Jilin",78,5,1
2020-02-08,"Liaoning",105,8,0
2020-02-08,"Ningxia",45,13,0
2020-02-08,"Qinghai",18,3,0
2020-02-08,"Shaanxi",208,20,0
2020-02-08,"Shandong",435,50,1
2020-02-08,"Shanghai",292,41,1
2020-02-08,"Shanxi",115,21,0
2020-02-08,"Sichuan",386,60,1
2020-02-08,"Tianjin",88,4,1
2020-02-08,"Tibet",1,0,0
2020-02-08,"Xinjiang",45,0,0
2020-02-08,"Yunnan",140,17,0
2020-02-08,"Zhejiang",1075,173,0
2020-02-09,"Anhui",830,73,3
2020-02-09,"Beijing",326,37,2
2020-02-09,"Chongqing",468,51,2
2020-02-09,"Fujian",261,35,0
2020-02-09,"Gansu",83,16,2
2020-02-09,"Guangdong",1151,143,1
2020-02-09,"Guangxi",210,18,1
2020-02-09,"Guizhou",109,7,1
2020-02-09,"Hainan",136,19,3
2020-02-09,"Hebei",218,35,2
2020-02-09,"Heilongjiang",331,15,7
2020-02-09,"Henan",1073,169,6
2020-02-09,"Hunan",879,186,1
2020-02-09,"Inner Mongolia",58,5,0
2020-02-09,"Jiangsu",492,72,0
2020-02-09,"Jiangxi",771,102,1
2020-02-09,"Jilin",80,12,1
2020-02-09,"Liaoning",107,12,0
2020-02-09,"Ningxia",49,13,0
2020-02-09,"Qinghai",18,3,0
2020-02-09,"Shaanxi",213,26,0
2020-02-09,"Shandong",459,63,1
2020-02-09,"Shanghai",295,44,1
2020-02-09,"Shanxi",119,25,0
2020-02-09,"Sichuan",405,76,1
2020-02-09,"Tianjin",91,4,1
2020-02-09,"Tibet",1,0,0
2020-02-09,"Xinjiang",49,0,0
2020-02-09,"Yunnan",141,18,0
2020-02-09,"Zhejiang",1092,201,0
2020-02-10,"Anhui",860,88,4
2020-02-10,"Beijing",337,44,2
2020-02-10,"Chongqing",486,66,2
2020-02-10,"Fujian",267,39,0
2020-02-10,"Gansu",86,21,2
2020-02-10,"Guangdong",1177,189,1
2020-02-10,"Guangxi",215,30,1
2020-02-10,"Guizhou",118,10,1
2020-02-10,"Hainan",142,19,3
2020-02-10,"Hebei",239,41,2
2020-02-10,"Heilongjiang",360,27,8
2020-02-10,"Henan",1105,198,7
2020-02-10,"Hunan",912,213,1
2020-02-10,"Inner Mongolia",58,5,0
2020-02-10,"Jiangsu",515,84,0
2020-02-10,"Jiangxi",804,127,1
2020-02-10,"Jilin",81,13,1
2020-02-10,"Liaoning",108,13,0
2020-02-10,"Ningxia",53,14,0
2020-02-10,"Qinghai",18,3,0
2020-02-10,"Shaanxi",219,31,0
2020-02-10,"Shandong",486,71,1
2020-02-10,"Shanghai",302,48,1
2020-02-10,"Shanxi",122,26,0
2020-02-10,"Sichuan",417,84,1
2020-02-10,"Tianjin",100,8,2
2020-02-10,"Tibet",1,0,0
2020-02-10,"Xinjiang",55,0,0
2020-02-10,"Yunnan",149,19,0
2020-02-10,"Zhejiang",1117,250,0
2020-02-11,"Anhui",889,108,4
2020-02-11,"Beijing",352,56,3
2020-02-11,"Chongqing",505,79,3
2020-02-11,"Fujian",272,46,0
2020-02-11,"Gansu",86,24,2
2020-02-11,"Guangdong",1219,241,1
2020-02-11,"Guangxi",222,31,1
2020-02-11,"Guizhou",131,17,1
2020-02-11,"Hainan",151,20,3
2020-02-11,"Hebei",251,48,2
2020-02-11,"Heilongjiang",378,28,8
2020-02-11,"Henan",1135,231,8
2020-02-11,"Hunan",946,263,2
2020-02-11,"Inner Mongolia",60,5,0
2020-02-11,"Jiangsu",543,94,0
2020-02-11,"Jiangxi",844,152,1
2020-02-11,"Jilin",83,18,1
2020-02-11,"Liaoning",116,19,0
2020-02-11,"Ningxia",58,22,0
2020-02-11,"Qinghai",18,5,0
2020-02-11,"Shaanxi",225,36,0
2020-02-11,"Shandong",497,80,1
2020-02-11,"Shanghai",306,53,1
2020-02-11,"Shanxi",124,30,0
2020-02-11,"Sichuan",436,85,1
2020-02-11,"Tianjin",107,10,2
2020-02-11,"Tibet",1,0,0
2020-02-11,"Xinjiang",59,3,0
2020-02-11,"Yunnan",154,20,0
2020-02-11,"Zhejiang",1131,279,0
2020-02-12,"Anhui",910,128,5
2020-02-12,"Beijing",366,68,3
2020-02-12,"Chongqing",518,102,3
2020-02-12,"Fujian",279,54,0
2020-02-12,"Gansu",87,31,2
2020-02-12,"Guangdong",1241,284,2
2020-02-12,"Guangxi",222,33,2
2020-02-12,"Guizhou",135,20,1
2020-02-12,"Hainan",157,27,4
2020-02-12,"Hebei",265,55,3
2020-02-12,"Heilongjiang",395,31,9
2020-02-12,"Henan",1169,258,10
2020-02-12,"Hunan",968,312,2
2020-02-12,"Inner Mongolia",61,6,0
2020-02-12,"Jiangsu",570,131,0
2020-02-12,"Jiangxi",872,170,1
2020-02-12,"Jilin",84,22,1
2020-02-12,"Liaoning",116,21,1
2020-02-12,"Ningxia",64,24,0
2020-02-12,"Qinghai",18,9,0
2020-02-12,"Shaanxi",229,42,0
2020-02-12,"Shandong",506,98,2
2020-02-12,"Shanghai",313,57,1
2020-02-12,"Shanxi",126,33,0
2020-02-12,"Sichuan",451,93,1
2020-02-12,"Tianjin",113,11,2
2020-02-12,"Tibet",1,1,0
2020-02-12,"Xinjiang",63,3,1
2020-02-12,"Yunnan",154,26,0
2020-02-12,"Zhejiang",1145,327,0
2020-02-13,"Anhui",934,166,6
2020-02-13,"Beijing",366,69,3
2020-02-13,"Chongqing",529,128,4
2020-02-13,"Fujian",281,59,0
2020-02-13,"Gansu",90,39,2
2020-02-13,"Guangdong",1261,334,2
2020-02-13,"Guangxi",226,35,2
2020-02-13,"Guizhou",140,28,1
2020-02-13,"Hainan",158,30,4
2020-02-13,"Hebei",283,70,3
2020-02-13,"Heilongjiang",418,37,11
2020-02-13,"Henan",1184,316,11
2020-02-13,"Hunan",988,352,2
2020-02-13,"Inner Mongolia",65,6,0
2020-02-13,"Jiangsu",593,141,0
2020-02-13,"Jiangxi",900,187,1
2020-02-13,"Jilin",86,25,1
2020-02-13,"Liaoning",117,24,1
2020-02-13,"Ningxia",67,24,0
2020-02-13,"Qinghai",18,11,0
2020-02-13,"Shaanxi",230,49,0
2020-02-13,"Shandong",519,111,2
2020-02-13,"Shanghai",318,62,1
2020-02-13,"Shanxi",126,36,0
2020-02-13,"Sichuan",463,105,1
2020-02-13,"Tianjin",119,21,3
2020-02-13,"Tibet",1,1,0
2020-02-13,"Xinjiang",65,6,1
